Frequency,Radial velocity,Data
1418795292.5669599,-353.69582553095984,-49.67957625565913
1418800180.1524928,-352.6642461540591,-53.823688348952686
1418805067.7380254,-351.6326667772086,-52.778789086246974
1418809955.323558,-350.60108740035815,-51.23896066711778
1418814842.909091,-349.56950802345744,-52.75123228396865
1418819730.4946237,-348.53792864660693,-52.860923773941444
1418824618.0801563,-347.50634926975647,-51.15043794193465
1418829505.6656892,-346.4747698928557,-54.041083564907964
1418834393.251222,-345.4431905160053,-54.06029951532452
1418839280.8367546,-344.41161113915484,-52.95601128176351
1418844168.4222875,-343.380031762254,-50.01728904756278
1418849056.0078201,-342.3484523854036,-51.96290591977199
1418853943.5933528,-341.31687300855316,-52.646411840534014
1418858831.1788857,-340.2852936316524,-50.18365790378348
1418863718.7644184,-339.25371425480193,-50.97746700750142
1418868606.349951,-338.2221348779515,-53.066637132407884
1418873493.935484,-337.1905555010507,-52.772818679925194
1418878381.5210166,-336.15897612420025,-55.18877107055733
1418883269.1065493,-335.12739674734985,-51.77413772155603
1418888156.6920822,-334.095817370449,-55.93096289518657
1418893044.2776148,-333.06423799359857,-51.430521691555306
1418897931.8631475,-332.03265861674817,-52.89931708429225
1418902819.4486804,-331.0010792398474,-54.00843947307025
1418907707.034213,-329.9694998629969,-54.18053770214315
1418912594.6197457,-328.9379204861465,-51.19538790628766
1418917482.2052786,-327.9063411092457,-55.87618290608497
1418922369.7908113,-326.87476173239526,-51.98933339763036
1418927257.3763442,-325.84318235549443,-51.53978366777415
1418932144.9618769,-324.81160297864403,-52.19814525019825
1418937032.5474095,-323.7800236017936,-52.50347956610173
1418941920.1329424,-322.7484442248928,-54.23975194813518
1418946807.718475,-321.71686484804235,-53.17363122954927
1418951695.3040078,-320.6852854711919,-53.01427316075313
1418956582.8895407,-319.6537060942911,-52.33501179689874
1418961470.4750733,-318.6221267174407,-54.721771122986986
1418966358.060606,-317.59054734059026,-52.75607812640638
1418971245.646139,-316.55896796368944,-52.870770535527996
1418976133.2316716,-315.527388586839,-53.74023248087522
1418981020.8172042,-314.4958092099886,-53.39626675892683
1418985908.4027371,-313.4642298330878,-52.68427104308095
1418990795.9882698,-312.4326504562373,-52.360594992135
1418995683.5738025,-311.4010710793869,-54.933016645254966
1419000571.1593354,-310.36949170248613,-54.12297185884452
1419005458.744868,-309.33791232563567,-51.39667333891195
1419010346.3304007,-308.30633294878527,-55.72245864636091
1419015233.9159336,-307.27475357188445,-55.5270318870172
1419020121.5014663,-306.243174195034,-54.570486404254304
1419025009.086999,-305.2115948181835,-54.917305269329766
1419029896.6725318,-304.18001544128276,-56.80150127267549
1419034784.2580645,-303.1484360644323,-54.18007477434696
1419039671.8435972,-302.1168566875819,-52.66851747009597
1419044559.42913,-301.0852773106811,-52.728631594372416
1419049447.0146627,-300.0536979338307,-54.52471686201208
1419054334.6001954,-299.02211855698016,-53.860018380228595
1419059222.1857283,-297.99053918007945,-56.14158997562657
1419064109.771261,-296.958959803229,-52.23681406454225
1419068997.3567936,-295.92738042637853,-54.25440035869301
1419073884.9423265,-294.89580104947777,-54.84841795748389
1419078772.5278592,-293.8642216726273,-51.60333259609472
1419083660.1133919,-292.83264229577685,-54.40438238251413
1419088547.6989248,-291.8010629188761,-51.15246828380688
1419093435.2844574,-290.7694835420256,-53.65666741193411
1419098322.86999,-289.73790416517517,-53.030033593831895
1419103210.455523,-288.7063247882744,-53.33912825756048
1419108098.0410557,-287.67474541142394,-53.058718777859504
1419112985.6265886,-286.6431660345232,-51.60355524087683
1419117873.2121212,-285.6115866576727,-53.042101974798726
1419122760.797654,-284.5800072808223,-51.183643079892136
1419127648.3831868,-283.5484279039215,-53.30477809826897
1419132535.9687195,-282.5168485270711,-52.31623990523252
1419137423.5542521,-281.48526915022063,-54.70729327124001
1419142311.139785,-280.45368977331987,-53.12529575441572
1419147198.7253177,-279.4221103964694,-52.43309151950178
1419152086.3108504,-278.39053101961895,-51.410181871774945
1419156973.8963833,-277.3589516427182,-51.63995928154803
1419161861.481916,-276.3273722658677,-54.451293039924636
1419166749.0674486,-275.29579288901726,-54.05284296397623
1419171636.6529815,-274.2642135121165,-52.124793950935086
1419176524.2385142,-273.23263413526604,-52.72096910317195
1419181411.8240469,-272.2010547584156,-53.52822605255351
1419186299.4095798,-271.1694753815148,-52.75908099430638
1419191186.9951124,-270.13789600466436,-50.95357560613693
1419196074.580645,-269.10631662781395,-55.03631718005113
1419200962.166178,-268.07473725091313,-51.49400234068639
1419205849.7517107,-267.0431578740627,-54.68585611594804
1419210737.3372433,-266.01157849721227,-51.92893143073771
1419215624.9227762,-264.97999912031145,-53.700392546218694
1419220512.508309,-263.94841974346105,-52.331437881051095
1419225400.0938416,-262.9168403666106,-54.43010662461941
1419230287.6793745,-261.8852609897098,-54.51086465641163
1419235175.2649071,-260.85368161285936,-51.93567059314108
1419240062.8504398,-259.8221022360089,-54.03734248984864
1419244950.4359727,-258.79052285910814,-49.48705730683807
1419249838.0215054,-257.7589434822577,-54.02078161352578
1419254725.607038,-256.7273641054072,-53.04645358102367
1419259613.192571,-255.69578472850645,-55.02291976611264
1419264500.7781036,-254.66420535165602,-57.94135246122486
1419269388.3636363,-253.6326259748056,-51.68341667013462
1419274275.9491692,-252.6010465979048,-52.28655856252091
1419279163.5347018,-251.56946722105437,-54.63224709698405
1419284051.1202345,-250.53788784420388,-52.422273054785784
1419288938.7057674,-249.50630846730314,-55.32453415725066
1419293826.2913,-248.47472909045268,-53.48989901329894
1419298713.876833,-247.4431497135519,-52.18239094042648
1419303601.4623656,-246.41157033670146,-52.462031750687274
1419308489.0478983,-245.379990959851,-51.16693291868147
1419313376.6334312,-244.34841158295023,-52.72018758143234
1419318264.2189639,-243.3168322060998,-54.51358993509476
1419323151.8044965,-242.28525282924932,-51.914335940528645
1419328039.3900294,-241.25367345234858,-51.21434470949719
1419332926.975562,-240.2220940754981,-52.11865129290791
1419337814.5610948,-239.19051469864766,-51.66725545364207
1419342702.1466277,-238.15893532174687,-55.74587638209772
1419347589.7321603,-237.12735594489644,-53.874548914534714
1419352477.317693,-236.095776568046,-53.47761965978581
1419357364.903226,-235.0641971911452,-52.36781149000972
1419362252.4887586,-234.03261781429478,-51.82940510821736
1419367140.0742912,-233.00103843744432,-57.18997814929732
1419372027.6598241,-231.96945906054356,-53.23867718431166
1419376915.2453568,-230.9378796836931,-53.42724548441407
1419381802.8308895,-229.90630030684264,-57.09119313028049
1419386690.4164224,-228.87472092994187,-49.24002905478443
1419391578.001955,-227.8431415530914,-53.032691050116696
1419396465.5874877,-226.81156217624098,-51.46840322165389
1419401353.1730206,-225.77998279934022,-53.63113203388217
1419406240.7585533,-224.74840342248973,-51.06569467695839
1419411128.344086,-223.7168240456393,-51.439103782451944
1419416015.9296188,-222.6852446687385,-54.6720757380621
1419420903.5151515,-221.65366529188807,-51.62533048453524
1419425791.1006842,-220.62208591503764,-51.82924386898277
1419430678.686217,-219.59050653813685,-52.16383451407826
1419435566.2717497,-218.55892716128642,-51.09792519033326
1419440453.8572824,-217.52734778443593,-54.38807306461355
1419445341.4428153,-216.4957684075352,-53.690587061864925
1419450229.028348,-215.46418903068474,-54.73657779904255
1419455116.6138806,-214.43260965383428,-51.19909649906064
1419460004.1994135,-213.4010302769335,-52.92699010409886
1419464891.7849462,-212.36945090008305,-50.74625629527843
1419469779.3704789,-211.33787152323262,-51.00338212100267
1419474666.9560118,-210.30629214633186,-52.4264616368124
1419479554.5415444,-209.2747127694814,-52.44258615162542
1419484442.1270773,-208.24313339258063,-51.96065833488155
1419489329.71261,-207.21155401573017,-52.69693035572243
1419494217.2981427,-206.1799746388797,-52.18179927777869
1419499104.8836756,-205.14839526197892,-53.23725270289884
1419503992.4692082,-204.1168158851285,-50.78259581138682
